RESERVADA       int             (linha 1, coluna 1)
RESERVADA       main            (linha 1, coluna 5)
SEPARADOR       (               (linha 1, coluna 9)
SEPARADOR       )               (linha 1, coluna 10)
SEPARADOR       {               (linha 1, coluna 12)
COMENTARIO       Declaração direta  (linha 2, coluna 5)
RESERVADA       int             (linha 3, coluna 5)
IDENTIFICADOR   vidas           (linha 3, coluna 9)
OPERADOR        =               (linha 3, coluna 15)
NUMERAL         3               (linha 3, coluna 17)
SEPARADOR       ;               (linha 3, coluna 18)
RESERVADA       int             (linha 4, coluna 5)
IDENTIFICADOR   pontos          (linha 4, coluna 9)
OPERADOR        =               (linha 4, coluna 16)
NUMERAL         0               (linha 4, coluna 18)
SEPARADOR       ;               (linha 4, coluna 19)
RESERVADA       int             (linha 5, coluna 5)
IDENTIFICADOR   a               (linha 5, coluna 9)
SEPARADOR       ;               (linha 5, coluna 10)
IDENTIFICADOR   a               (linha 6, coluna 5)
OPERADOR        =               (linha 6, coluna 7)
NUMERAL         0               (linha 6, coluna 9)
SEPARADOR       ;               (linha 6, coluna 10)
COMENTARIO       Laço de Repetição (linha 8, coluna 5)
RESERVADA       while           (linha 9, coluna 5)
SEPARADOR       (               (linha 9, coluna 11)
IDENTIFICADOR   vidas           (linha 9, coluna 12)
SEPARADOR       )               (linha 9, coluna 17)
SEPARADOR       {               (linha 9, coluna 19)
COMENTARIO       Matemática com precedência (linha 11, coluna 9)
IDENTIFICADOR   pontos          (linha 12, coluna 9)
OPERADOR        =               (linha 12, coluna 16)
IDENTIFICADOR   pontos          (linha 12, coluna 18)
OPERADOR        +               (linha 12, coluna 25)
NUMERAL         1               (linha 12, coluna 27)
OPERADOR        *               (linha 12, coluna 29)
NUMERAL         50              (linha 12, coluna 31)
SEPARADOR       ;               (linha 12, coluna 33)
COMENTARIO       Condicional IF (linha 14, coluna 9)
RESERVADA       if              (linha 15, coluna 9)
SEPARADOR       (               (linha 15, coluna 12)
IDENTIFICADOR   pontos          (linha 15, coluna 13)
SEPARADOR       )               (linha 15, coluna 19)
SEPARADOR       {               (linha 15, coluna 21)
RESERVADA       int             (linha 16, coluna 13)
IDENTIFICADOR   bonus           (linha 16, coluna 17)
OPERADOR        =               (linha 16, coluna 23)
NUMERAL         10              (linha 16, coluna 25)
SEPARADOR       ;               (linha 16, coluna 27)
COMENTARIO       Escopo local! (Nasce e morre aqui) (linha 16, coluna 29)
IDENTIFICADOR   pontos          (linha 17, coluna 13)
OPERADOR        =               (linha 17, coluna 20)
IDENTIFICADOR   pontos          (linha 17, coluna 22)
OPERADOR        +               (linha 17, coluna 29)
IDENTIFICADOR   bonus           (linha 17, coluna 31)
SEPARADOR       ;               (linha 17, coluna 36)
SEPARADOR       }               (linha 18, coluna 9)
IDENTIFICADOR   vidas           (linha 20, coluna 9)
OPERADOR        =               (linha 20, coluna 15)
IDENTIFICADOR   vidas           (linha 20, coluna 17)
OPERADOR        -               (linha 20, coluna 23)
NUMERAL         1               (linha 20, coluna 25)
SEPARADOR       ;               (linha 20, coluna 26)
SEPARADOR       }               (linha 21, coluna 5)
RESERVADA       return          (linha 23, coluna 5)
NUMERAL         0               (linha 23, coluna 12)
SEPARADOR       ;               (linha 23, coluna 13)
SEPARADOR       }               (linha 24, coluna 1)
